1.4,4.5,8.5,1.48,4.2,8.5,1.36,4,8.3,1,0,3,0,63,37,8,0,112,74,8,10,0,2,7,29
4.75,3.2,1.91,4.75,3.1,2,4.28,2.9,1.9,0.5,0.5,1,1,36,64,2,4,82,121,6,9,1,2,17,13
2.8,3.1,2.75,2.8,3,2.7,2.7,2.9,2.6,0.5,0.5,0,2,63,37,6,7,128,70,18,7,2,2,29,17
1.67,3.6,5.75,1.65,3.5,6,1.58,3.55,5.25,1,0,3,0,49,51,3,1,108,99,10,12,0,2,7,13
1.45,4,8.5,1.48,4,7.5,1.4,3.9,7.4,1,0,1,0,69,31,6,1,124,57,14,12,1,2,7,17
1.57,4.5,5,1.65,3.8,5.5,1.52,3.8,5.4,0.5,0.5,3,1,50,50,10,6,96,119,14,20,1,3,13,29
1.57,2.88,12,1.33,5,12,1.28,4.5,10,1,0,0,1,70,30,6,1,129,76,11,12,0,2,10,54
4,3.3,2.05,4.33,3.4,1.95,3.4,3.35,1.95,1,0,0,3,34,66,1,4,117,134,11,9,0,0,38,1
1.57,3.9,6.5,1.6,3.75,6,1.48,3.6,6.6,1,0,1,0,59,41,3,1,145,91,12,12,3,2,38,54
4.33,3.3,1.95,4.2,3.25,2.05,3.78,3.2,1.88,1,0,1,2,47,53,5,5,126,106,8,14,3,1,10,1
9,4.75,1.36,8.5,4.5,1.4,7,4.4,1.35,0.5,0.5,0,2,40,60,1,7,70,153,6,10,0,0,54,1
1.57,4.2,5.5,1.7,3.8,5,1.55,3.9,4.9,1,0,4,1,65,35,10,2,107,83,16,15,1,2,10,38
1.7,3.5,5.75,1.77,3.4,5.75,1.65,3.25,5.25,0.5,0.5,1,2,57,43,3,2,138,71,15,13,2,1,21,36
1.33,5,10,1.37,5,10,1.3,4.7,7.9,1,0,0,0,85,15,5,1,182,52,7,11,0,1,6,18
1.91,3.2,4.75,1.9,3.3,4.5,1.82,3.08,4.32,0.5,0.5,1,0,42,58,4,0,117,96,16,7,1,3,18,36
1.29,5.75,11,1.33,5,10,1.32,4.5,8,1,0,5,0,76,24,5,2,165,77,16,17,2,4,6,21
1.18,6.5,17,1.2,6.5,13,1.18,6,11,1,0,5,0,66,34,9,0,119,61,7,14,2,2,6,36
3,3.4,2.4,2.87,3.4,2.4,2.75,3.1,2.35,0.5,0.5,3,2,33,67,4,6,87,124,13,13,1,2,18,21
1.73,3.5,5.25,1.77,3.5,5.5,1.64,3.4,4.9,0.5,0.5,3,1,63,37,6,2,136,94,13,16,1,2,23,62
1.5,4.33,6.5,1.5,4.5,7,1.38,4.3,6.6,1,0,3,2,62,38,7,5,154,56,8,8,0,1,16,24
1.8,3.6,4.75,1.87,3.6,4.5,1.72,3.4,4.35,0.5,0.5,2,1,52,48,8,5,101,93,9,9,1,2,24,62
1.6,3.8,6,1.61,4.2,5.75,1.46,4,5.8,1,0,2,0,47,53,4,1,102,118,13,9,1,2,16,23
1.22,6.5,13,1.22,6,12,1.22,5.4,9.5,1,0,3,0,59,41,7,1,128,77,13,8,0,4,16,62
3.9,2.1,3.1,3.8,2.1,3.1,3.5,2.05,3,0.5,0.5,0,1,50,50,1,4,94,127,10,11,0,0,24,23
