2.38,3.3,3.1,2.3,3.3,3.1,2.4,3.25,2.62,1,0,2,0,46,54,4,3,120,84,11,9,3,2,4,12
2.3,3.2,3.3,2.3,3.2,3.3,2.18,3.1,3.1,0.5,0.5,1,1,46,54,3,4,148,135,11,7,2,2,18,24
5.75,3.9,1.62,5.5,3.8,1.65,5.25,3.9,1.5,0.5,0.5,1,1,28,72,2,10,85,203,15,14,2,1,13,6
3.4,3.2,2.25,3.4,3.2,2.25,2.95,3,2.3,0.5,0.5,1,2,46,54,4,3,87,116,16,13,1,2,1,7
4,3,2.15,3.8,3.2,2.05,3.4,3.02,2.08,0.5,0.5,1,2,55,45,5,7,106,103,16,11,2,0,40,10
7.5,4,1.5,7.5,3.8,1.53,7.1,4,1.4,0.5,0.5,0,4,48,52,2,6,95,119,10,4,0,0,24,4
2.5,3.1,3.1,2.4,3.2,3.1,2.2,3.1,3.06,0.5,0.5,1,1,30,70,4,3,70,189,17,18,2,1,7,6
