5.75,3.9,1.62,5.5,3.8,1.65,5.25,3.9,1.5,0.5,0.5,1.75,2.25,53,73.5,5,7.25,89,159,12,10,2.25,1,13,6
3.4,3.2,2.25,3.4,3.2,2.25,2.95,3,2.3,0.5,0.5,2,1.75,57.25,58,4.25,5.75,121.75,128,11.75,10.5,0.75,0.75,1,7
4,3,2.15,3.8,3.2,2.05,3.4,3.02,2.08,0.5,0.5,1.25,2,46.25,58.75,3.5,7.25,98.75,115,10.5,10.75,1.25,1,40,10
7.5,4,1.5,7.5,3.8,1.53,7.1,4,1.4,0.5,0.5,1.25,1,48.5,53,4.5,2.5,96.5,110,8.5,11,1,1,24,4
2.38,3.3,3.1,2.3,3.3,3.1,2.4,3.25,2.62,1,0,0.666666667,2,55.33333333,65,2,5,106.6666667,145,95.33333333,73,11.33333333,7.75,4,12
