category,date,A,A_fullname,A_abrv,B,B_fullname,B_abrv,stadium,A365,D365,B365,A_betWay,D_betWay,B_betWay,A_bovada,D_bovada,B_bovada,A_home,B_home,A_goal,B_goal,A_possess,B_possess,A_ontarget,B_ontarget,A_attack,B_attack,A_foul,B_foul,A_yc,B_yc,A_rc,B_rc,A_rank,B_rank,outcome
group3,2016/6/20,瑞士,Switzerland,SUI,法国,France,FRA,皮埃尔-莫鲁瓦球场,6,3,1.9,5.5,2.95,1.95,6.5,3,1.77,0,1,0,0,53,47,0,6,81,63,8,10,0,2,0,0,15,17,D
group3,2016/6/20,罗马尼亚,Romania,ROU,阿尔巴尼亚,Albania,ALB,卢米埃尔球场,2.05,3.5,3.9,2.05,3.5,3.9,1.95,3.6,3.85,0.5,0.5,0,1,62,38,3,5,79,60,13,13,3,3,0,0,22,42,B
group3,2016/6/21,斯洛伐克,Slovakia,SVK,英格兰,England,ENG,格奥弗罗伊-居萨,5.75,3.2,1.85,5.5,3.25,1.85,5.75,3.4,1.71,0.5,0.5,0,0,35,65,2,7,48,71,7,11,1,1,0,0,24,11,D
group3,2016/6/21,俄罗斯,Russia,RUS,威尔士,Wales,WAL,图卢兹市政球场,2.7,3.1,3,2.6,3.2,3,2.65,3.1,2.85,0.5,0.5,0,3,51,49,2,8,64,55,9,6,1,1,0,0,29,26,B
group3,2016/6/22,乌克兰,Ukraine,UKR,波兰,Poland,POL,维洛德罗姆球场,4.75,3.3,1.95,4.75,3.25,1.95,5,3.5,1.91,0.5,0.5,0,1,65,35,5,2,64,52,21,12,2,1,0,0,19,27,B
group3,2016/6/22,北爱尔兰,Northern Ireland,NIR,德国,Germany,GER,王子公园,15,5.25,1.3,12,5,1.33,12,5.25,1.29,0.5,0.5,0,1,29,71,1,9,51,73,9,7,,,0,0,25,4,B
group3,2016/6/22,克罗地亚,Croatia,CRO,西班牙,Spain,ESP,大西洋马特穆特体育场,5.25,3.1,1.95,5,3,2,5.5,3.1,1.83,0.5,0.5,2,1,38,62,2,3,67,80,9,11,4,0,0,0,27,6,A
group3,2016/6/22,捷克,Czech Republic,CZE,土耳其,Turkey,TUR,stade bollaert-delelis,2.37,3.6,3.1,2.38,3.5,3.1,2.3,3.35,3.15,0.5,0.5,0,2,58,42,7,0,69,74,15,14,3,2,0,0,30,18,B
group3,2016/6/23,匈牙利,Hungary,HUN,葡萄牙,Portugal,POR,卢米埃尔球场,9.5,3.9,1.5,9,3.75,1.53,9,4,1.45,0.5,0.5,3,3,35,65,2,4,44,68,15,7,4,0,0,0,20,8,D
group3,2016/6/23,冰岛,Iceland,ISL,奥地利,Austria,AUT,stade de france,3.7,3.2,2.25,3.5,3.2,2.3,3.4,3.2,2.25,0.5,0.5,2,1,30,70,1,6,48,76,8,10,4,1,0,0,34,10,A
group3,2016/6/23,意大利,Italy,ITA,爱尔兰,Republic of Ireland,IRL,皮埃尔-莫鲁瓦球场,2.3,3.1,3.75,2.25,3.1,3.75,2.2,3.2,3.5,0.5,0.5,0,1,44,56,1,5,56,74,20,18,4,2,0,0,12,33,B
group3,2016/6/23,瑞典,Sweden,SWE,比利时,Belgium,BEL,安联-里维耶拉球场,5,3.3,1.9,4.75,3.4,1.9,5.25,3.4,1.77,0.5,0.5,0,1,48,52,4,7,66,57,9,15,2,2,0,0,35,2,B
